Field,Value,Timestamp
Symbol,NVDA,2025-08-21T16:07:30.899892
Company Name,NVIDIA Corporation,2025-08-21T16:07:30.899892
CEO,Jen-Hsun Huang,2025-08-21T16:07:30.899892
Sector,Technology,2025-08-21T16:07:30.899892
Industry,Semiconductors,2025-08-21T16:07:30.899892
Exchange,NASDAQ,2025-08-21T16:07:30.899892
Exchange Full Name,NASDAQ Global Select,2025-08-21T16:07:30.899892
Website,https://www.nvidia.com,2025-08-21T16:07:30.899892
Full Time Employees,36000,2025-08-21T16:07:30.899892
Market Cap,4279760000000,2025-08-21T16:07:30.899892
Current Price,175.4,2025-08-21T16:07:30.899892
Currency,USD,2025-08-21T16:07:30.899892
Volume,213099811,2025-08-21T16:07:30.899892
Average Volume,181646467,2025-08-21T16:07:30.899892
Price Range,86.62-184.48,2025-08-21T16:07:30.899892
Beta,2.145,2025-08-21T16:07:30.899892
IPO Date,1999-01-22,2025-08-21T16:07:30.899892
Last Dividend,0.04,2025-08-21T16:07:30.899892
Change,-0.24,2025-08-21T16:07:30.899892
Change Percentage,-0.13664,2025-08-21T16:07:30.899892
Country,US,2025-08-21T16:07:30.899892
State,CA,2025-08-21T16:07:30.899892
City,Santa Clara,2025-08-21T16:07:30.899892
Address,2788 San Tomas Expressway,2025-08-21T16:07:30.899892
Phone,408 486 2000,2025-08-21T16:07:30.899892
CUSIP,67066G104,2025-08-21T16:07:30.899892
ISIN,US67066G1040,2025-08-21T16:07:30.899892
CIK,0001045810,2025-08-21T16:07:30.899892
Description,"NVIDIA Corporation provides graphics, and compute and networking solutions in the United States, Taiwan, China, and internationally. The company's Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for...",2025-08-21T16:07:30.899892
